"","q_n","date","ISPREAD","EEFR","RET","SMB","HML","MOM","VXO","CSPREAD","TERM","TED","CISS","ADS","MOM"
"4183",130,2018-06-14,-0.111564522227785,0.181987897967446,0.155164415411332,0.298707335296094,0.47980479140653,0.0361092825446143,0.0703392006481138,0.0728629048651559,0.0919986678650417,0.094652349596438,0.207164240553673,0.484610697676285,NA
"4184",130,2018-06-15,-0.110396364152661,0.180972743488303,0.162334749818076,0.295937222694761,0.49019661188621,0.013797857625983,0.0778729230386652,0.0707898386948624,0.0924108385013298,0.0956915691496762,0.205731285345552,0.484713453493316,NA
"4185",130,2018-06-16,-0.110396364152661,0.179959734489609,0.162334749818076,0.295937222694761,0.49019661188621,0.013797857625983,0.0778729230386652,0.0707898386948624,0.0924108385013298,0.0956915691496762,0.205731285345552,0.484813672653635,NA
"4186",130,2018-06-17,-0.110396364152661,0.178948919334544,0.162334749818076,0.295937222694761,0.49019661188621,0.013797857625983,0.0778729230386652,0.0707898386948624,0.0924108385013298,0.0956915691496762,0.205731285345552,0.478812124062755,NA
"4187",130,2018-06-18,-0.109241579367058,0.177940065833789,0.169412592442197,0.318645323164699,0.473111734100493,0.0305027544976899,0.0848757881737328,0.0691141951969829,0.0928945989565229,0.0971714321732611,0.20450595199512,0.478690130248277,NA
"4188",130,2018-06-19,-0.10799668341132,0.18032655527512,0.182771803622288,0.335079807405143,0.473894031800284,0.0145226914127901,0.0911280592565262,0.0678232226507376,0.0936504383316699,0.0984080351702632,0.203078429458738,0.478558423552655,NA
"4189",130,2018-06-20,-0.10690821269428,0.182702494925838,0.178623083887151,0.357680822861022,0.504789199992389,0.0215282578986808,0.0965485244039606,0.0669045735551563,0.0939609424543573,0.0994072974461639,0.201806220385511,0.478419294109957,NA
"4190",130,2018-06-21,-0.105764819661315,0.181673341510233,0.198730955618157,0.327560049556988,0.464315994154617,0.0138796550902289,0.115409645411775,0.0657026353079804,0.0945468724965774,0.100174928226857,0.200149413662809,0.478274998690712,NA
"4191",130,2018-06-22,-0.10467121286859,0.180646318247464,0.196372448869624,0.321806046986872,0.414486470500317,0.00040602943905288,0.118448994387359,0.0642264641521617,0.0949968084143276,0.100716484883626,0.198564826550508,0.478127758994927,NA
"4192",130,2018-06-23,-0.10467121286859,0.179621447810125,0.196372448869624,0.321806046986872,0.414486470500317,0.00040602943905288,0.118448994387359,0.0642264641521617,0.0949968084143276,0.100716484883626,0.198564826550508,0.477979767996775,NA
"4193",130,2018-06-24,-0.10467121286859,0.178598827559096,0.196372448869624,0.321806046986872,0.414486470500317,0.00040602943905288,0.118448994387359,0.0642264641521617,0.0949968084143276,0.100716484883626,0.198564826550508,0.445857667448121,NA
